permit_id,resident_id,visitor_name,visitor_plate,space_id,start_time,end_time,status,permit_type,reason,created_at
1,4,Gilberto,REQ190,9,2026-11-12T00:46:01Z,2026-11-12T02:46:01Z,completed,visitor,,2026-11-11T22:46:01Z
2,3,Kayne,RNU949,9,2026-10-25T08:37:41Z,2026-10-25T11:37:41Z,completed,visitor,,2026-10-25T05:37:41Z
3,5,Alaric,WPD688,8,2026-12-01T05:37:32Z,2026-12-01T09:37:32Z,completed,visitor,,2026-12-01T04:37:32Z
4,5,Agathe,JGY112,10,2026-10-31T14:07:47Z,2026-10-31T15:07:47Z,active,visitor,,2026-10-31T12:07:47Z
5,10,Rees,XSA634,4,2026-09-13T13:09:51Z,2026-09-13T15:09:51Z,active,visitor,,2026-09-13T10:09:51Z
6,4,Janka,PRM425,5,2026-12-28T04:17:46Z,2026-12-28T07:17:46Z,active,visitor,,2026-12-28T03:17:46Z
7,8,Orly,XCO765,7,2026-12-30T05:41:29Z,2026-12-30T09:41:29Z,upcoming,visitor,,2026-12-30T03:41:29Z
8,3,Fanchon,NSP728,8,2026-11-19T15:51:31Z,2026-11-19T16:51:31Z,upcoming,visitor,,2026-11-19T12:51:31Z
9,3,Huey,YDX397,8,2026-10-14T14:41:02Z,2026-10-14T16:41:02Z,upcoming,visitor,,2026-10-14T13:41:02Z
10,7,Horatius,SIQ195,5,2026-12-13T23:37:10Z,2026-12-14T02:37:10Z,upcoming,visitor,,2026-12-13T21:37:10Z
